STEPS,ERROR,LAMBDA
50,0.675758,0.858583
51,0.643363,0.370285
52,0.589568,0.875082
53,0.558254,0.387043
54,0.507059,0.891266
55,0.476775,0.403473
56,0.427973,0.907153
57,0.398669,0.419592
58,0.352074,0.92276
59,0.323704,0.435418
60,0.27915,0.938099
61,0.251669,0.450967
62,0.209009,0.953185
63,0.182375,0.466252
64,0.141475,0.96803
65,0.115647,0.481286
66,0.0763867,0.982645
67,0.0513271,0.496082
68,0.0135974,0.99704
69,1.78748,0.510649
70,1.7417,0.0118084
71,1.722,0.525
72,1.67781,0.0265008
73,1.65836,0.539142
74,1.61566,0.0409709
75,1.59647,0.553085
76,1.55518,0.0552285
77,1.53625,0.566836
78,1.4963,0.0692827
79,1.47763,0.580405
80,1.43893,0.0831419
81,1.42054,0.593797
82,1.38303,0.0968139
83,1.3649,0.607019
84,1.32853,0.110306
85,1.31067,0.620078
86,1.27537,0.123625
87,1.25777,0.63298
88,1.22349,0.136778
89,1.20616,0.645729
90,1.17285,0.149771
91,1.15579,0.658332
92,1.1234,0.162608
93,1.1066,0.670794
94,1.07509,0.175297
95,1.05854,0.683118
96,1.02787,0.187841
97,1.01158,0.69531
98,0.981712,0.200246
99,0.965665,0.707373
100,0.936568,0.212516
101,0.920767,0.719312
102,0.892403,0.224655
103,0.876842,0.731131
104,0.849182,0.236668
105,0.833858,0.742832
106,0.806871,0.248558
107,0.791778,0.75442
108,0.765437,0.260329
109,0.750573,0.765897
110,0.724851,0.271984
111,0.710211,0.777266
112,0.685084,0.283528
113,0.670662,0.788532
114,0.646108,0.294962
115,0.631901,0.799696
116,0.607896,0.30629
117,0.593899,0.810761
118,0.570424,0.317516
119,0.556633,0.82173
120,0.533667,0.328641
121,0.520078,0.832605
122,0.497604,0.339668
123,0.484212,0.843388
124,0.46221,0.3506
125,0.449012,0.854083
126,0.427467,0.361439
127,0.414458,0.86469
128,0.393354,0.372188
129,0.38053,0.875213
130,0.359851,0.382849
131,0.347208,0.885652
132,0.32694,0.393423
133,0.314475,0.896011
134,0.294604,0.403914
135,0.282313,0.906291
136,0.262826,0.414322
137,0.250706,0.916493
138,0.23159,0.424651
139,0.219636,0.92662
140,0.20088,0.434901
141,0.189088,0.936672
142,0.170681,0.445074
143,0.159049,0.946653
144,0.140979,0.455172
145,0.129503,0.956562
146,0.11176,0.465198
147,0.100437,0.966402
148,0.0830106,0.475151
149,0.0718382,0.976175
150,0.0547188,0.485034
151,0.0436931,0.98588
152,0.026872,0.494849
153,0.0159899,0.995521
154,1.25895,0.504596
155,1.24912,0.00527447
156,1.22983,0.514277
157,1.22009,0.0151151
158,1.20111,0.523894
159,1.19144,0.0248881
160,1.17277,0.533447
161,1.16318,0.0345947
162,1.1448,0.542939
163,1.1353,0.0442364
164,1.1172,0.552369
165,1.10778,0.0538143
166,1.08996,0.561739
167,1.08062,0.0633298
168,1.06308,0.571051
169,1.05382,0.072784
170,1.03653,0.580305
171,1.02735,0.0821781
172,1.01033,0.589503
173,1.00122,0.0915132
174,0.984448,0.598645
175,0.975425,0.10079
176,0.958893,0.607733
177,0.949947,0.110011
178,0.933653,0.616767
179,0.924785,0.119176
180,0.908723,0.625749
181,0.89993,0.128285
182,0.884096,0.634679
183,0.875378,0.137341
184,0.859766,0.643558
185,0.851122,0.146344
186,0.835726,0.652387
187,0.827156,0.155296
188,0.811971,0.661167
189,0.803474,0.164196
190,0.788495,0.669899
191,0.780071,0.173046
192,0.765293,0.678583
193,0.75694,0.181846
194,0.74236,0.687221
195,0.734077,0.190598
196,0.719689,0.695812
197,0.711476,0.199302
198,0.697276,0.704358
199,0.689132,0.207959
200,0.675116,0.71286
201,0.667041,0.21657
202,0.653205,0.721318
203,0.645197,0.225135
204,0.631537,0.729732
205,0.623596,0.233656
206,0.610108,0.738104
207,0.602233,0.242132
208,0.588914,0.746434
209,0.581104,0.250565
210,0.56795,0.754723
211,0.560204,0.258955
212,0.547211,0.762971
213,0.53953,0.267303
214,0.526695,0.771179
215,0.519076,0.27561
216,0.506397,0.779347
217,0.49884,0.283875
218,0.486313,0.787477
219,0.478818,0.292101
220,0.466438,0.795568
221,0.459004,0.300286
222,0.446771,0.803621
223,0.439397,0.308433
224,0.427306,0.811637
225,0.419991,0.316541
226,0.40804,0.819616
227,0.400784,0.324611
228,0.388971,0.827559
229,0.381773,0.332643
230,0.370094,0.835466
231,0.362953,0.340638
232,0.351406,0.843337
233,0.344322,0.348597
234,0.332904,0.851174
235,0.325876,0.35652
236,0.314585,0.858976
237,0.307612,0.364407
238,0.296446,0.866745
239,0.289528,0.372259
240,0.278483,0.87448
241,0.27162,0.380077
242,0.260695,0.882181
243,0.253885,0.38786
244,0.243078,0.88985
245,0.23632,0.39561
246,0.225629,0.897487
247,0.218923,0.403327
248,0.208346,0.905092
249,0.201691,0.41101
250,0.191225,0.912666
251,0.184622,0.418662
252,0.174265,0.920208
253,0.167712,0.426281
254,0.157463,0.92772
255,0.15096,0.433869
256,0.140816,0.935201
257,0.134362,0.441425
258,0.124322,0.942652
259,0.117916,0.448951
260,0.107978,0.950074
261,0.101621,0.456446
262,0.0917829,0.957467
263,0.0854727,0.463911
264,0.0757334,0.96483
265,0.0694702,0.471346
266,0.0598277,0.972165
267,0.0536107,0.478752
268,0.0440634,0.979472
269,0.0378923,0.486129
270,0.0284386,0.986751
271,0.0223127,0.493477
272,0.012951,0.994002
273,0.00686984,0.500796
274,0.966984,0.00125803
275,0.961247,0.508088
276,0.95073,0.00864106
277,0.945024,0.515352
278,0.934604,0.0159954
279,0.928929,0.522589
280,0.918604,0.0233213
281,0.912961,0.529798
282,0.90273,0.0306191
283,0.897117,0.536981
284,0.88698,0.0378891
285,0.881397,0.544137
286,0.871351,0.0451318
287,0.865799,0.551267
288,0.855842,0.0523473
289,0.850321,0.558371
290,0.840452,0.0595359
291,0.834961,0.565449
292,0.82518,0.066698
293,0.819718,0.572502
294,0.810023,0.0738339
295,0.804591,0.57953
296,0.79498,0.0809438
297,0.789577,0.586533
298,0.78005,0.088028
299,0.774677,0.593511
300,0.765231,0.0950869
301,0.759887,0.600465
302,0.750522,0.102121
303,0.745207,0.607395
304,0.735922,0.109129
305,0.730635,0.614301
306,0.721429,0.116114
307,0.716171,0.621184
308,0.707041,0.123073
309,0.701812,0.628043
310,0.692759,0.130009
311,0.687557,0.634879
312,0.678579,0.136921
313,0.673406,0.641693
314,0.664502,0.143809
315,0.659356,0.648483
316,0.650525,0.150674
317,0.645407,0.655252
318,0.636648,0.157516
319,0.631557,0.661998
320,0.622869,0.164335
321,0.617805,0.668722
322,0.609188,0.171131
323,0.604151,0.675424
324,0.595602,0.177905
325,0.590592,0.682105
326,0.582112,0.184657
327,0.577128,0.688764
328,0.568715,0.191386
329,0.563757,0.695402
330,0.55541,0.198094
331,0.550479,0.70202
332,0.542198,0.20478
333,0.537292,0.708616
334,0.529075,0.211445
335,0.524196,0.715192
336,0.516043,0.218088
337,0.511189,0.721748
338,0.503098,0.224711
339,0.49827,0.728283
340,0.490242,0.231313
341,0.485438,0.734798
342,0.477471,0.237894
343,0.472693,0.741294
344,0.464786,0.244455
345,0.460032,0.74777
346,0.452186,0.250996
347,0.447456,0.754226
348,0.439668,0.257516
349,0.434964,0.760664
350,0.427234,0.264017
351,0.422554,0.767082
352,0.414881,0.270498
353,0.410225,0.773481
354,0.402609,0.27696
355,0.397977,0.779861
356,0.390417,0.283402
357,0.385808,0.786223
358,0.378304,0.289825
359,0.373718,0.792566
360,0.366268,0.29623
361,0.361706,0.798891
362,0.35431,0.302615
363,0.349772,0.805198
364,0.342429,0.308982
365,0.337913,0.811487
366,0.330623,0.31533
367,0.32613,0.817758
368,0.318892,0.32166
369,0.314422,0.824012
370,0.307235,0.327972
371,0.302787,0.830248
372,0.295651,0.334266
373,0.291225,0.836466
374,0.284139,0.340542
375,0.279736,0.842667
376,0.272699,0.3468
377,0.268318,0.848852
378,0.26133,0.353041
379,0.25697,0.855019
380,0.250031,0.359264
381,0.245693,0.861169
382,0.238801,0.36547
383,0.234485,0.867303
384,0.22764,0.371659
385,0.223345,0.87342
386,0.216548,0.377831
387,0.212274,0.879521
388,0.205522,0.383986
389,0.201269,0.885606
390,0.194563,0.390125
391,0.190331,0.891674
392,0.18367,0.396246
393,0.179458,0.897726
394,0.172842,0.402352
395,0.168651,0.903763
396,0.162078,0.408441
397,0.157908,0.909784
398,0.151379,0.414514
399,0.147228,0.915789
400,0.140742,0.420571
401,0.136612,0.921778
402,0.130169,0.426612
403,0.126058,0.927752
404,0.119657,0.432637
405,0.115566,0.933711
406,0.109207,0.438647
407,0.105136,0.939655
408,0.0988174,0.444641
409,0.0947658,0.945583
410,0.0884882,0.450619
411,0.0844559,0.951497
412,0.0782185,0.456582
413,0.0742053,0.957396
414,0.0680078,0.46253
415,0.0640137,0.96328
416,0.0578555,0.468463
417,0.0538803,0.969149
418,0.0477611,0.474381
419,0.0438046,0.975004
420,0.037724,0.480284
421,0.0337861,0.980845
422,0.0277436,0.486173
423,0.0238243,0.986671
424,0.0178195,0.492047
425,0.0139184,0.992483
426,0.00795099,0.497906
427,0.00406816,0.998281
428,0.78581,0.503751
429,0.782072,0.00414964
430,0.775477,0.509581
431,0.771753,0.0100388
432,0.765198,0.515398
433,0.761488,0.0159133
434,0.754972,0.5212
435,0.751275,0.0217733
436,0.744798,0.526988
437,0.741116,0.0276189
438,0.734676,0.532762
439,0.731008,0.0334502
440,0.724606,0.538523
441,0.720951,0.0392673
442,0.714588,0.54427
443,0.710946,0.0450703
444,0.704619,0.550003
445,0.700992,0.0508593
446,0.694702,0.555723
447,0.691088,0.0566344
448,0.684834,0.561429
449,0.681233,0.0623958
450,0.675015,0.567122
451,0.671428,0.0681434
452,0.665246,0.572802
453,0.661672,0.0738775
454,0.655525,0.578468
455,0.651965,0.079598
456,0.645853,0.584122
457,0.642306,0.0853052
458,0.636228,0.589762
459,0.632694,0.090999
460,0.626651,0.59539
461,0.62313,0.0966796
462,0.617121,0.601005
463,0.613613,0.102347
464,0.607637,0.606607
465,0.604142,0.108002
466,0.5982,0.612197
467,0.594718,0.113643
468,0.588809,0.617774
469,0.585339,0.119272
470,0.579463,0.623339
471,0.576006,0.124888
472,0.570162,0.628891
473,0.566718,0.130491
474,0.560906,0.634431
475,0.557474,0.136081
476,0.551694,0.639959
477,0.548275,0.141659
478,0.542526,0.645475
479,0.53912,0.147225
480,0.533402,0.650979
481,0.530008,0.152778
482,0.524322,0.65647
483,0.52094,0.158319
484,0.515284,0.66195
485,0.511914,0.163848
486,0.506289,0.667418
487,0.502932,0.169365
488,0.497336,0.672875
489,0.493991,0.17487
490,0.488425,0.678319
491,0.485092,0.180362
492,0.479556,0.683752
493,0.476235,0.185843
494,0.470728,0.689174
495,0.467419,0.191312
496,0.461941,0.694584
497,0.458644,0.19677
498,0.453194,0.699983
499,0.449909,0.202215
500,0.444488,0.705371
501,0.441215,0.20765
502,0.435822,0.710747
503,0.43256,0.213072
504,0.427196,0.716112
505,0.423946,0.218483
506,0.418609,0.721466
507,0.41537,0.223883
508,0.410061,0.726809
509,0.406834,0.229272
510,0.401551,0.732142
511,0.398336,0.234649
512,0.393081,0.737463
513,0.389877,0.240015
514,0.384648,0.742773
515,0.381456,0.245371
516,0.376254,0.748073
517,0.373072,0.250715
518,0.367896,0.753362
519,0.364727,0.256048
520,0.359577,0.758641
521,0.356418,0.26137
522,0.351294,0.763908
523,0.348146,0.266682
524,0.343048,0.769166
525,0.339911,0.271983
526,0.334839,0.774413
527,0.331713,0.277273
528,0.326665,0.779649
529,0.323551,0.282552
530,0.318528,0.784876
531,0.315424,0.287821
532,0.310426,0.790092
533,0.307333,0.29308
534,0.30236,0.795298
535,0.299278,0.298328
536,0.294329,0.800493
537,0.291257,0.303565
538,0.286333,0.805679
539,0.283272,0.308793
540,0.278371,0.810855
541,0.275321,0.31401
542,0.270444,0.816021
543,0.267404,0.319217
544,0.26255,0.821176
545,0.259521,0.324413
546,0.254691,0.826322
547,0.251673,0.3296
548,0.246865,0.831459
549,0.243857,0.334777
550,0.239073,0.836585
551,0.236075,0.339944
552,0.231314,0.841702
553,0.228326,0.345101
554,0.223588,0.846809
555,0.22061,0.350248
556,0.215894,0.851907
557,0.212927,0.355385
558,0.208233,0.856995
559,0.205276,0.360513
560,0.200604,0.862074
561,0.197657,0.365631
562,0.193007,0.867143
563,0.19007,0.370739
564,0.185441,0.872203
565,0.182514,0.375838
566,0.177907,0.877254
567,0.17499,0.380927
568,0.170405,0.882295
569,0.167498,0.386007
570,0.162933,0.887327
571,0.160036,0.391077
572,0.155493,0.89235
573,0.152605,0.396138
574,0.148083,0.897364
575,0.145205,0.40119
576,0.140703,0.902369
577,0.137835,0.406232
578,0.133354,0.907365
579,0.130495,0.411266
580,0.126034,0.912352
581,0.123185,0.41629
582,0.118745,0.91733
583,0.115905,0.421305
584,0.111485,0.9223
585,0.108654,0.426311
586,0.104254,0.92726
587,0.101433,0.431308
588,0.0970524,0.932212
589,0.0942411,0.436296
590,0.0898799,0.937155
591,0.0870779,0.441275
592,0.0827362,0.942089
593,0.0799434,0.446245
594,0.075621,0.947014
595,0.0728375,0.451207
596,0.0685342,0.951932
597,0.0657599,0.45616
598,0.0614756,0.95684
599,0.0587104,0.461104
600,0.0544451,0.96174
601,0.0516889,0.466039
602,0.0474423,0.966632
603,0.0446952,0.470966
604,0.0404672,0.971515
605,0.037729,0.475884
606,0.0335195,0.97639
607,0.0307903,0.480793
608,0.026599,0.981256
609,0.0238787,0.485695
610,0.0197057,0.986115
611,0.0169942,0.490587
612,0.0128392,0.990965
613,0.0101365,0.495472
614,0.00599949,0.995806
615,0.00330554,0.500347
616,0.662443,0.000651073
617,0.65982,0.505215
618,0.655307,0.00555969
619,0.652691,0.510074
620,0.648196,0.0104598
621,0.645588,0.514925
622,0.641112,0.0153515
623,0.638511,0.519768
624,0.634053,0.0202348
625,0.631459,0.524603
626,0.62702,0.0251098
627,0.624433,0.52943
628,0.620012,0.0299765
629,0.617432,0.534248
630,0.61303,0.0348349
631,0.610456,0.539059
632,0.606072,0.0396851
633,0.603506,0.543861
634,0.599139,0.0445271
635,0.59658,0.548656
636,0.592232,0.0493609
637,0.589679,0.553443
638,0.585349,0.0541867
639,0.582803,0.558222
640,0.57849,0.0590044
641,0.575951,0.562993
642,0.571656,0.0638141
643,0.569124,0.567756
644,0.564845,0.0686159
645,0.56232,0.572511
646,0.558059,0.0734096
647,0.555541,0.577259
648,0.551297,0.0781955
649,0.548786,0.581999
650,0.544559,0.0829736
651,0.542054,0.586731
652,0.537844,0.0877438
653,0.535346,0.591456
654,0.531152,0.0925062
655,0.528661,0.596173
656,0.524484,0.0972609
657,0.522,0.600883
658,0.51784,0.102008
659,0.515362,0.605585
660,0.511218,0.106747
661,0.508746,0.61028
662,0.504619,0.111479
663,0.502154,0.614967
664,0.498043,0.116203
665,0.495585,0.619647
666,0.491489,0.120919
667,0.489038,0.62432
668,0.484959,0.125628
669,0.482513,0.628985
670,0.47845,0.13033
671,0.476011,0.633643
672,0.471964,0.135024
673,0.469532,0.638294
674,0.4655,0.139711
675,0.463074,0.642937
676,0.459058,0.14439
677,0.456638,0.647574
678,0.452637,0.149062
679,0.450224,0.652203
680,0.446239,0.153726
681,0.443832,0.656825
682,0.439862,0.158384
683,0.437462,0.66144
684,0.433507,0.163034
685,0.431113,0.666048
686,0.427173,0.167677
687,0.424785,0.670648
688,0.42086,0.172312
689,0.418479,0.675242
690,0.414568,0.176941
691,0.412193,0.679829
692,0.408298,0.181562
693,0.405929,0.684409
694,0.402048,0.186177
695,0.399686,0.688982
696,0.395819,0.190784
697,0.393463,0.693548
698,0.389611,0.195384
699,0.387261,0.698108
700,0.383424,0.199978
701,0.381079,0.70266
702,0.377256,0.204564
703,0.374918,0.707206
704,0.371109,0.209143
705,0.368777,0.711745
706,0.364983,0.213716
707,0.362657,0.716278
708,0.358876,0.218282
709,0.356556,0.720803
710,0.352789,0.22284
711,0.350475,0.725322
712,0.346723,0.227392
713,0.344415,0.729835
714,0.340676,0.231938
715,0.338374,0.734341
716,0.334648,0.236476
717,0.332352,0.73884
718,0.32864,0.241008
719,0.32635,0.743332
720,0.322652,0.245533
721,0.320368,0.747819
722,0.316683,0.250052
723,0.314404,0.752298
724,0.310733,0.254564
725,0.30846,0.756772
726,0.304802,0.259069
727,0.302535,0.761238
728,0.29889,0.263568
729,0.296629,0.765699
730,0.292998,0.26806
731,0.290742,0.770153
732,0.287124,0.272546
733,0.284874,0.7746
734,0.281268,0.277025
735,0.279025,0.779042
736,0.275431,0.281498
737,0.273194,0.783477
738,0.269613,0.285964
739,0.267381,0.787906
740,0.263813,0.290424
741,0.261587,0.792328
742,0.258032,0.294878
743,0.255811,0.796745
744,0.252268,0.299325
745,0.250053,0.801155
746,0.246523,0.303766
747,0.244314,0.805559
748,0.240796,0.308201
749,0.238592,0.809957
750,0.235087,0.312629
751,0.232888,0.814349
752,0.229395,0.317051
753,0.227202,0.818734
754,0.223721,0.321467
755,0.221534,0.823114
756,0.218065,0.325877
757,0.215883,0.827488
758,0.212427,0.330281
759,0.21025,0.831855
760,0.206805,0.334678
761,0.204634,0.836217
762,0.201202,0.33907
763,0.199036,0.840572
764,0.195615,0.343455
765,0.193455,0.844922
766,0.190046,0.347835
767,0.187891,0.849266
768,0.184493,0.352208
769,0.182344,0.853604
770,0.178958,0.356575
771,0.176814,0.857936
772,0.17344,0.360936
773,0.171301,0.862262
774,0.167938,0.365292
775,0.165805,0.866583
776,0.162453,0.369641
777,0.160325,0.870897
778,0.156985,0.373985
779,0.154862,0.875206
780,0.151533,0.378322
781,0.149416,0.879509
782,0.146098,0.382654
783,0.143986,0.883807
784,0.140679,0.38698
785,0.138572,0.888098
786,0.135277,0.3913
787,0.133175,0.892384
788,0.129891,0.395614
789,0.127794,0.896665
790,0.124521,0.399923
791,0.122429,0.900939
792,0.119167,0.404226
793,0.11708,0.905209
794,0.113828,0.408523
795,0.111747,0.909472
796,0.108506,0.412814
797,0.10643,0.91373
798,0.1032,0.4171
799,0.101128,0.917982
800,0.0979091,0.42138
801,0.0958429,0.922229
802,0.0926341,0.425655
803,0.0905729,0.926471
804,0.0873747,0.429923
805,0.0853185,0.930707
806,0.0821307,0.434187
807,0.0800795,0.934937
808,0.0769022,0.438444
809,0.074856,0.939162
810,0.071689,0.442697
811,0.0696477,0.943382
812,0.0664911,0.446943
813,0.0644548,0.947596
814,0.0613084,0.451184
815,0.0592769,0.951805
816,0.0561408,0.45542
817,0.0541142,0.956008
818,0.0509882,0.45965
819,0.0489665,0.960206
820,0.0458506,0.463875
821,0.0438338,0.964399
822,0.0407279,0.468095
823,0.0387159,0.968587
824,0.03562,0.472309
825,0.0336128,0.972769
826,0.0305268,0.476517
827,0.0285245,0.976946
828,0.0254483,0.48072
829,0.0234508,0.981118
830,0.0203844,0.484918
831,0.0183917,0.985284
832,0.0153351,0.489111
833,0.0133471,0.989446
834,0.0103002,0.493298
835,0.00831689,0.993602
836,0.00527965,0.49748
837,0.00330109,0.997753
838,0.000273459,0.501657
839,0.571088,0.00192676
840,0.567808,0.505829
841,0.565872,0.00612852
842,0.562602,0.509995
843,0.560671,0.0103249
844,0.55741,0.514156
845,0.555483,0.0145161
846,0.552232,0.518312
847,0.550309,0.0187019
848,0.547069,0.522463
849,0.545149,0.0228825
850,0.541919,0.526609
851,0.540003,0.0270579
852,0.536782,0.530749
853,0.534871,0.031228
854,0.53166,0.534885
855,0.529752,0.0353929
856,0.526551,0.539015
857,0.524648,0.0395527
858,0.521456,0.543141
859,0.519556,0.0437072
860,0.516375,0.547261
861,0.514479,0.0478567
862,0.511307,0.551376
863,0.509415,0.052001
864,0.506252,0.555487
865,0.504364,0.0561402
866,0.501211,0.559592
867,0.499326,0.0602743
868,0.496183,0.563692
869,0.494302,0.0644033
870,0.491168,0.567788
871,0.489292,0.0685273
872,0.486167,0.571878
873,0.484294,0.0726463
874,0.481179,0.575964
875,0.479309,0.0767603
876,0.476203,0.580044
877,0.474338,0.0808692
878,0.471241,0.58412
879,0.46938,0.0849732
880,0.466292,0.588191
881,0.464434,0.0890722
882,0.461356,0.592257
883,0.459502,0.0931663
884,0.456432,0.596318
885,0.454582,0.0972554
886,0.451521,0.600375
887,0.449675,0.10134
888,0.446624,0.604426
889,0.444781,0.105419
890,0.441738,0.608473
891,0.439899,0.109494
892,0.436866,0.612515
893,0.43503,0.113563
894,0.432006,0.616553
895,0.430174,0.117628
896,0.427158,0.620585
897,0.42533,0.121688
898,0.422323,0.624613
899,0.420499,0.125743
900,0.4175,0.628636
901,0.41568,0.129793
902,0.41269,0.632655
903,0.410873,0.133839
904,0.407892,0.636669
905,0.406079,0.13788
906,0.403106,0.640678
907,0.401296,0.141916
908,0.398333,0.644683
909,0.396527,0.145948
910,0.393571,0.648683
911,0.391769,0.149974
912,0.388822,0.652678
913,0.387023,0.153996
914,0.384084,0.656669
915,0.382289,0.158014
916,0.379359,0.660655
917,0.377567,0.162026
918,0.374646,0.664637
919,0.372858,0.166034
920,0.369944,0.668614
921,0.36816,0.170038
922,0.365254,0.672587
923,0.363473,0.174037
924,0.360577,0.676555
925,0.358799,0.178031
926,0.35591,0.680519
927,0.354136,0.182021
928,0.351256,0.684478
929,0.349485,0.186006
930,0.346613,0.688432
931,0.344846,0.189986
932,0.341982,0.692383
933,0.340218,0.193962
934,0.337362,0.696329
935,0.335602,0.197934
936,0.332754,0.70027
937,0.330997,0.201901
938,0.328157,0.704207
939,0.326404,0.205864
940,0.323571,0.70814
941,0.321822,0.209822
942,0.318997,0.712068
943,0.317251,0.213775
944,0.314434,0.715992
945,0.312692,0.217725
946,0.309883,0.719912
947,0.308143,0.221669
948,0.305342,0.723827
949,0.303606,0.22561
950,0.300813,0.727738
951,0.299081,0.229546
952,0.296295,0.731645
953,0.294566,0.233477
954,0.291788,0.735547
955,0.290062,0.237405
956,0.287292,0.739445
957,0.285569,0.241327
958,0.282807,0.743339
959,0.281088,0.245246
960,0.278332,0.747229
961,0.276617,0.24916
962,0.273869,0.751114
963,0.272157,0.25307
964,0.269417,0.754995
965,0.267708,0.256976
966,0.264975,0.758872
967,0.263269,0.260877
968,0.260544,0.762745
969,0.258842,0.264774
970,0.256124,0.766614
971,0.254425,0.268667
972,0.251714,0.770478
973,0.250018,0.272556
974,0.247315,0.774338
975,0.245623,0.27644
976,0.242926,0.778195
977,0.241237,0.280321
978,0.238548,0.782047
979,0.236863,0.284197
980,0.234181,0.785895
981,0.232498,0.288068
982,0.229824,0.789739
983,0.228145,0.291936
984,0.225477,0.793578
985,0.223801,0.2958
986,0.221141,0.797414
987,0.219468,0.299659
988,0.216815,0.801246
989,0.215145,0.303514
990,0.212499,0.805073
991,0.210833,0.307365
992,0.208194,0.808897
993,0.206531,0.311212
994,0.203899,0.812717
995,0.202239,0.315055
996,0.199614,0.816532
997,0.197957,0.318894
998,0.195338,0.820344
999,0.193685,0.322729
1000,0.191073,0.824151
