div,price
0.01,925.8666322
0.0101,925.6910772
0.0102,925.5153112
0.0103,925.3393682
0.0104,925.1632623
0.0105,924.9869935
0.0106,924.810552
0.0107,924.6338774
0.0108,924.4569805
0.0109,924.2799164
0.011,924.1025465
0.0111,923.9249615
0.0112,923.7471978
0.0113,923.5691281
0.0114,923.3908408
0.0115,923.2123702
0.0116,923.0336948
0.0117,922.8548495
0.0118,922.6758037
0.0119,922.4965953
0.012,922.3171964
0.0121,922.1375491
0.0122,921.9577392
0.0123,921.777767
0.0124,921.5976323
0.0125,921.4173033
0.0126,921.2366338
0.0127,921.0557793
0.0128,920.8747624
0.0129,920.6935733
0.013,920.5122173
0.0131,920.3306991
0.0132,920.1490189
0.0133,919.9671766
0.0134,919.7851598
0.0135,919.6029737
0.0136,919.4206256
0.0137,919.2381157
0.0138,919.0553324
0.0139,918.8723658
0.014,918.6892375
0.0141,918.5059402
0.0142,918.3224464
0.0143,918.138512
0.0144,917.9542624
0.0145,917.769804
0.0146,917.5851839
0.0147,917.4004022
0.0148,917.2153901
0.0149,917.0302151